id,haze,rain,raindrop
0025.jpg,66.22943959294967,124.93443430933041,20
0039.jpg,77.87382430373943,293.9553837041231,14
0043.jpg,144.99001409928306,146.27105383581926,10
0058.jpg,132.0513914037674,236.14230315867835,9
0062.jpg,61.049016904919554,93.38237237074102,10
0070.jpg,87.40763116976814,299.2950647222892,17
0074.jpg,97.41948120741002,112.18354207951612,17
0077.jpg,65.78059661646769,159.926809847561,14
0078.jpg,72.61083693207037,280.4118468451312,16
0080.jpg,71.53050135625028,197.06290844883557,21
0122.jpg,91.27090966137621,299.2509567844047,8
0123.jpg,93.72070645218079,161.20154544516438,10
0129.jpg,78.05417958621439,55.615321675108646,10
0138.jpg,126.99667221367145,187.96772339515823,13
0140.jpg,89.81065910666146,277.9700825080679,17
0141.jpg,117.05757470666622,75.18696737498324,16
0176.jpg,120.9995793120456,176.57458152660388,11
0179.jpg,67.91399855100605,243.89473556505206,6
0190.jpg,133.21808511422148,207.68946041777275,10
0202.jpg,76.32051064349447,123.4071701839056,7
0207.jpg,90.76713743221575,204.4210995568105,9
0208.jpg,101.45424447422093,81.37619274096681,17
0213.jpg,66.34314794020945,273.8830253802438,16
0215.jpg,107.064229467537,59.37613189227848,18
0227.jpg,63.45448845229782,227.69426842402575,13
0249.jpg,106.37386204760217,250.58465948929512,13
0251.jpg,138.61231171561647,220.57097161004856,7
0254.jpg,122.9905306206062,187.43722007899962,14
0256.jpg,143.92850688141874,98.42776814886324,15
0259.jpg,136.62848570130757,97.18816932593239,7
0260.jpg,125.87548187673526,252.99937203104855,14
0261.jpg,113.29552212525869,110.00818159748428,15
0263.jpg,116.74072015188256,85.27987993215436,22
0285.jpg,82.04471692396537,211.30803466496465,13
0288.jpg,126.9254199133211,196.9058897462887,14
0296.jpg,145.5916881896289,233.72560936468577,12
0297.jpg,135.78895424344915,104.38870061552586,12
0314.jpg,142.0115123897501,56.39515670560001,18
0330.jpg,85.47000217151715,166.06824860383844,12
0339.jpg,132.70394745589533,170.99329441244015,15
0346.jpg,73.77791377072153,185.40320579902635,16
